ID,"К-во известных юрлиц, шт","К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц
445,1,1,55,3,5,11,3187136.37,10051.0,1875,18,3.860189573459716,4.203791469194313,51.70142180094787,317.09644512983783,1.3152777777777778
446,1,1,30,3,6,11,655418.05,1302.0,744,966,3.5974025974025974,4.376623376623376,52.81818181818182,503.3932795698925,1.1111111111111112
447,1,1,8,3,3,4,6153.639999999999,14.0,127,1201,3.1,3.7,48.4,439.54571428571427,1.0
448,1,1,10,2,2,7,85240.68,490.0,601,1173,3.8125,4.375,47.4375,173.96057142857143,1.0
449,1,1,12,2,2,9,806553.04,2822.0,519,1099,3.972972972972973,4.054054054054054,50.432432432432435,285.80901488306165,1.65
450,1,1,16,3,3,8,57541.03,182.0,1039,856,3.9166666666666665,3.933333333333333,53.766666666666666,316.1595054945055,1.4166666666666665
451,1,1,27,3,3,9,241238.43,1285.0,770,1137,3.738095238095238,4.107142857142857,50.30952380952381,187.734186770428,1.3333333333333333
452,1,1,2,1,1,2,37815.4,140.0,1,1330,4.0,4.0,44.0,270.11,1.0
453,1,1,15,3,3,7,49077.22,167.0,1357,304,3.0,3.0526315789473686,55.31578947368421,293.87556886227543,1.1666666666666667
454,1,1,42,3,5,18,440437.81,3056.0,1791,18,3.9095744680851063,3.526595744680851,50.388297872340424,144.12232002617802,1.925
455,1,1,5,1,1,5,56009.75,130.0,107,10,4.0,4.0,52.083333333333336,430.84423076923076,1.5
456,1,1,36,2,4,8,113026.23999999999,773.0,961,911,3.380952380952381,4.619047619047619,58.36507936507937,146.21764553686933,1.0
457,1,1,133,3,6,26,1639995.83,8986.0,1531,115,3.6566901408450705,3.311619718309859,52.41901408450704,182.5056565768974,1.461111111111111
