ds,y
2018-08-21,2144984.74
2018-08-22,1970137.64
2018-08-23,1254465.95
2018-08-24,1972797.14
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,2250421.17
2018-08-28,2202192.89
2018-08-29,2800509.91
2018-08-30,2882996.54
2018-08-31,2916997.1100000003
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,2299432.25
2018-09-04,1491738.51
2018-09-05,2621188.94
2018-09-06,3100115.38
2018-09-07,1551568.66
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,1744175.98
2018-09-11,1686967.16
2018-09-12,2399296.24
2018-09-13,4338332.56
2018-09-14,1385243.21
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,2011880.73
2018-09-18,1998322.29
2018-09-19,2449010.23
2018-09-20,1686040.87
2018-09-21,1980690.24
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,2874783.19
2018-09-25,1917621.65
2018-09-26,3302477.9699999997
2018-09-27,4034836.83
2018-09-28,1960491.93
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,3210193.5
2018-10-02,2180500.9
2018-10-03,2773742.2
2018-10-04,2609320.79
2018-10-05,2039162.33
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,2227493.34
2018-10-09,2220546.97
2018-10-10,4246175.0
2018-10-11,3559976.46
2018-10-12,1264464.24
2018-10-13,0.0
2018-10-14,0.0
2018-10-15,4182360.91
2018-10-16,1676233.49
2018-10-17,3278256.9
2018-10-18,4800166.26
2018-10-19,1284429.43
2018-10-20,0.0
2018-10-21,0.0
2018-10-22,3095938.33
2018-10-23,3861529.12
2018-10-24,2171667.13
2018-10-25,4053319.7
2018-10-26,3093778.98
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,3675506.47
2018-10-30,2540810.2
2018-10-31,3066594.41
2018-11-01,4692376.42
2018-11-02,3528799.21
2018-11-03,0.0
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,1773734.31
2018-11-07,3185591.72
2018-11-08,6413750.57
2018-11-09,1977642.56
2018-11-10,0.0
2018-11-11,0.0
2018-11-12,2441426.77
2018-11-13,1792607.85
2018-11-14,3425887.61
2018-11-15,4687160.16
2018-11-16,2796568.4
2018-11-17,0.0
2018-11-18,0.0
2018-11-19,1891650.64
2018-11-20,1364630.23
2018-11-21,2448524.57
2018-11-22,3700583.52
2018-11-23,2937410.69
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,2942669.08
2018-11-27,2624559.8000000003
2018-11-28,1887123.3900000001
2018-11-29,4199015.62
2018-11-30,2483767.67
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,2778893.79
2018-12-04,2463337.9899999998
2018-12-05,5302170.640000001
2018-12-06,3149765.66
2018-12-07,1786470.26
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,1286482.57
2018-12-11,1789800.17
2018-12-12,3363764.74
2018-12-13,3421669.01
2018-12-14,2969951.29
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,2842741.55
2018-12-18,2918069.47
2018-12-19,3823370.02
2018-12-20,2625924.82
2018-12-21,1395635.91
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,3528646.37
2018-12-25,1723491.1
2018-12-26,2693032.7399999998
2018-12-27,3471310.27
2018-12-28,528994.99
2018-12-29,364248.82
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,1528709.09
2019-01-10,3068061.46
2019-01-11,2113842.64
2019-01-12,0.0
2019-01-13,0.0
2019-01-14,3185291.45
2019-01-15,1792901.1300000001
2019-01-16,4006482.16
2019-01-17,2778121.44
2019-01-18,2237557.52
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,1831482.11
2019-01-22,1472173.15
2019-01-23,1423896.27
2019-01-24,3716504.45
